"last_name","actor_id"
"Guiness",1
"Wahlberg",2
"Chase",3
"Davis",4
"Lollobrigida",5
"Nicholson",6
"Mostel",7
"Johansson",8
"Swank",9
"Gable",10
"Cage",11
"Berry",12
"Wood",13
"Bergen",14
"Olivier",15
"Costner",16
"Voight",17
"Torn",18
"Fawcett",19
"Tracy",20
"Paltrow",21
"Marx",22
"Kilmer",23
"Streep",24
"Bloom",25
"Crawford",26
"Mcqueen",27
"Hoffman",28
"Wayne",29
"Peck",30
"Sobieski",31
"Hackman",32
"Peck",33
"Olivier",34
"Dean",35
"Dukakis",36
"Bolger",37
"Mckellen",38
"Brody",39
"Cage",40
"Degeneres",41
"Miranda",42
"Jovovich",43
"Stallone",44
"Kilmer",45
"Goldberg",46
"Barrymore",47
"Day-Lewis",48
"Cronyn",49
"Hopkins",50
"Phoenix",51
"Hunt",52
"Temple",53
"Pinkett",54
"Kilmer",55
"Harris",56
"Cruise",57
"Akroyd",58
"Tautou",59
"Berry",60
"Neeson",61
"Neeson",62
"Wray",63
"Johansson",64
"Hudson",65
"Tandy",66
"Bailey",67
"Winslet",68
"Paltrow",69
"Mcconaughey",70
"Grant",71
"Williams",72
"Penn",73
"Keitel",74
"Posey",75
"Astaire",76
"Mcconaughey",77
"Sinatra",78
"Hoffman",79
"Cruz",80
"Damon",81
"Jolie",82
"Willis",83
"Pitt",84
"Zellweger",85
"Dean",143
"Chaplin",86
"Peck",87
"Pesci",88
"Dench",89
"Guiness",90
"Berry",91
"Akroyd",92
"Presley",93
"Torn",94
"Wahlberg",95
"Willis",96
"Hawke",97
"Bridges",98
"Mostel",99
"Depp",100
"Davis",101
"Torn",102
"Leigh",103
"Cronyn",104
"Crowe",105
"Dunst",106
"Degeneres",107
"Nolte",108
"Dern",109
"Davis",110
"Zellweger",111
"Bacall",112
"Hopkins",113
"Mcdormand",114
"Bale",115
"Streep",116
"Tracy",117
"Allen",118
"Jackman",119
"Monroe",120
"Bergman",121
"Nolte",122
"Dench",123
"Bening",124
"Nolte",125
"Tomei",126
"Garland",127
"Mcqueen",128
"Crawford",129
"Keitel",130
"Jackman",131
"Hopper",132
"Penn",133
"Hopkins",134
"Reynolds",135
"Mansfield",136
"Williams",137
"Dee",138
"Gooding",139
"Hurt",140
"Harris",141
"Ryder",142
"Witherspoon",144
"Allen",145
"Johansson",146
"Winslet",147
"Dee",148
"Temple",149
"Nolte",150
"Heston",151
"Harris",152
"Kilmer",153
"Gibson",154
"Tandy",155
"Wood",156
"Malden",157
"Basinger",158
"Brody",159
"Depp",160
"Hope",161
"Kilmer",162
"West",163
"Willis",164
"Garland",165
"Degeneres",166
"Bullock",167
"Wilson",168
"Hoffman",169
"Hopper",170
"Pfeiffer",171
"Williams",172
"Dreyfuss",173
"Bening",174
"Hackman",175
"Chase",176
"Mckellen",177
"Monroe",178
"Guiness",179
"Silverstone",180
"Carrey",181
"Akroyd",182
"Close",183
"Garland",184
"Bolger",185
"Zellweger",186
"Ball",187
"Dukakis",188
"Birch",189
"Bailey",190
"Gooding",191
"Suvari",192
"Temple",193
"Allen",194
"Silverstone",195
"Walken",196
"West",197
"Keitel",198
"Fawcett",199
"Temple",200
